iter	RMSE
0	76430.62933
1	75724.13389
2	74909.01203
3	74107.28967
4	73337.2345
5	72532.75513
6	71838.343
7	71019.0249
8	70301.44288
9	69705.03332
10	69029.26528
11	68398.96429
12	67728.00977
13	67041.15791
14	66471.38341
15	65824.80829
16	65296.31983
17	64737.42138
18	64064.88079
19	63446.17114
20	62890.84486
21	62239.22265
22	61698.51251
23	61150.40134
24	60824.64003
25	60369.4745
26	59788.98324
27	59265.26278
28	58782.98269
29	58279.80593
30	57876.65383
31	57424.99941
32	57045.71933
33	56771.08345
34	56422.38224
35	55994.30666
36	55584.83961
37	55242.4643
38	54840.65365
39	54433.15526
40	54037.58437
41	53719.7892
42	53323.51715
43	52914.79546
44	52552.17449
45	52128.41256
46	51736.35881
47	51463.61805
48	51225.20999
49	50904.82838
50	50636.13754
51	50425.77302
52	50191.32193
53	49985.79867
54	49731.33191
55	49488.94899
56	49190.39675
57	48884.94779
58	48667.13853
59	48396.04758
60	48094.65577
61	47811.18707
62	47607.84235
63	47353.78768
64	47178.49741
65	46907.6189
66	46706.14365
67	46475.45681
68	46349.19883
69	46109.44232
70	45844.17619
71	45639.74453
72	45439.17122
73	45246.60035
74	45120.44767
75	44917.464
76	44711.66746
77	44447.57062
78	44193.43463
79	43961.4485
80	43768.56602
81	43557.32402
82	43378.1331
83	43233.95729
84	43087.22926
85	42844.70279
86	42789.06424
87	42743.43848
88	42642.34858
89	42432.27459
90	42283.88813
91	42101.54586
92	41941.92875
93	41770.56707
94	41638.93048
95	41503.34314
96	41407.16569
97	41241.71161
98	41162.81489
99	41002.54172
100	40890.829
101	40837.15665
102	40695.90669
103	40541.73358
104	40451.47548
105	40311.64317
106	40231.6853
107	40144.96147
108	40094.98414
109	39982.82397
110	39829.44923
111	39712.09444
112	39615.32622
113	39549.27906
114	39466.79519
115	39322.33361
116	39205.59336
117	39142.58001
118	39015.62665
119	38911.98688
120	38842.29599
121	38811.74073
122	38753.61701
123	38635.03597
124	38578.83385
125	38521.00147
126	38473.64748
127	38391.22154
128	38315.39324
129	38236.76457
130	38149.50342
131	38052.9692
132	38009.63646
133	37864.08939
134	37752.49771
135	37667.3263
136	37607.01461
137	37499.20995
138	37407.17142
139	37312.40895
140	37257.32324
141	37160.76143
142	37084.8099
143	36986.71875
144	36896.95441
145	36831.94714
146	36723.0127
147	36636.76881
148	36575.66021
149	36469.59901
150	36373.99762
151	36315.86977
152	36294.03856
153	36209.39424
154	36129.89111
155	36075.04678
156	36026.81323
157	35967.42198
158	35920.93072
159	35865.30837
160	35808.78943
161	35758.75447
162	35720.75873
163	35673.76074
164	35606.6398
165	35580.88139
166	35545.38388
167	35493.41445
168	35462.96865
169	35406.89436
170	35360.98579
171	35304.62794
172	35273.92092
173	35232.39583
174	35211.425
175	35150.9705
176	35085.56835
177	35044.28645
178	34999.31209
179	34954.32771
180	34891.31587
181	34821.26043
182	34785.3044
183	34741.23955
184	34666.98229
185	34631.33912
186	34589.74746
187	34512.8212
188	34469.45136
189	34400.37305
190	34341.56285
191	34288.63199
192	34252.83415
193	34196.02675
194	34163.90924
195	34126.41455
196	34103.32339
197	34082.13729
198	34023.4423
199	33949.28649
200	33879.00738
201	33822.45526
202	33800.3285
203	33765.82677
204	33747.38108
205	33728.3422
206	33685.86019
207	33631.57791
208	33573.16919
209	33531.84301
210	33452.94893
211	33379.73377
212	33362.50524
213	33312.75612
214	33262.63757
215	33228.35388
216	33178.65716
217	33106.12204
218	33068.73987
219	33042.05178
220	33026.13782
221	32981.36533
222	32932.13984
223	32903.47533
224	32883.21921
225	32839.38897
226	32822.12503
227	32791.2583
228	32725.5066
229	32700.35038
230	32674.07991
231	32655.74181
232	32629.39387
233	32611.75892
234	32575.01736
235	32522.71375
236	32491.31108
237	32450.52023
238	32422.64659
239	32364.87608
240	32341.23749
241	32317.01516
242	32294.95382
243	32275.63415
244	32250.86685
245	32235.23329
246	32204.46454
247	32134.13471
248	32084.65154
249	32050.6726
250	32032.05659
251	31995.79874
252	31954.94215
253	31934.74128
254	31892.97829
255	31866.99834
256	31838.67564
257	31783.24236
258	31743.52764
259	31715.17817
260	31682.33207
261	31632.07209
262	31592.19254
263	31568.89694
264	31542.29859
265	31526.15737
266	31492.75187
267	31464.61778
268	31441.26138
269	31425.54397
270	31401.94666
271	31377.80419
272	31351.47261
273	31331.06097
274	31311.73982
275	31274.0736
276	31247.63203
277	31215.55354
278	31199.12249
279	31176.74365
280	31112.46985
281	31093.20918
282	31067.15554
283	31017.16787
284	30996.02925
285	30971.20512
286	30948.86867
287	30929.32474
288	30897.22885
289	30876.79988
290	30862.67669
291	30846.38999
292	30828.31643
293	30776.57852
294	30759.85551
295	30745.97871
296	30724.78171
297	30711.02695
298	30688.02256
299	30669.31161
300	30648.99688
301	30636.26474
302	30612.67251
303	30591.78926
304	30569.04732
305	30557.47567
306	30538.70303
307	30520.06863
308	30502.83545
309	30481.28278
310	30469.9192
311	30450.10006
312	30439.09143
313	30397.84731
314	30386.37388
315	30370.0567
316	30344.72429
317	30329.97552
318	30317.30205
319	30296.145
320	30283.72721
321	30256.26185
322	30244.49828
323	30231.07287
324	30219.40149
325	30199.06244
326	30180.25106
327	30168.37359
328	30146.85269
329	30126.57371
330	30108.59694
331	30093.33902
332	30075.76158
333	30062.597
334	30044.12137
335	29999.00743
336	29988.05741
337	29969.35794
338	29927.9947
339	29909.934
340	29895.84738
341	29847.19747
342	29829.75306
343	29815.38964
344	29802.79144
345	29761.35805
346	29745.61002
347	29731.55915
348	29672.4294
349	29655.61724
350	29645.58872
351	29630.40857
352	29614.96621
353	29588.99627
354	29571.15364
355	29517.36373
356	29508.59057
357	29461.35376
358	29448.00761
359	29432.72211
360	29423.14803
361	29407.20584
362	29394.09881
363	29380.25776
364	29332.98596
365	29292.01124
366	29282.27737
367	29272.95225
368	29263.62707
369	29233.75571
370	29219.34085
371	29206.66129
372	29185.77078
373	29152.35238
374	29143.23708
375	29132.43307
376	29119.9871
377	29104.43801
378	29093.26806
379	29084.31015
380	29030.65945
381	29002.5127
382	28951.96906
383	28906.24132
384	28896.93116
385	28881.94137
386	28873.17304
387	28847.28402
388	28810.80173
389	28800.04225
390	28785.87893
391	28774.32605
392	28765.75025
393	28724.32802
394	28716.72204
395	28692.059
396	28671.50819
397	28660.11249
398	28647.20693
399	28629.91475
400	28594.52215
401	28581.48843
402	28573.09958
403	28566.09341
404	28538.28962
405	28524.2687
406	28511.18787
407	28502.20226
408	28490.63562
409	28482.30623
410	28463.32982
411	28429.63025
412	28417.56785
413	28400.91481
414	28389.09074
415	28356.32658
416	28327.57804
417	28317.30442
418	28310.13376
419	28298.48158
420	28266.60579
421	28257.96267
422	28249.30494
423	28213.54616
424	28205.75241
425	28187.88752
426	28171.64601
427	28162.97883
428	28156.50789
429	28148.63273
430	28140.15484
431	28132.33065
432	28124.00719
433	28116.80583
434	28104.18501
435	28091.66119
436	28073.8131
437	28061.0685
438	28038.29445
439	27997.08503
440	27989.50272
441	27955.36602
442	27948.41873
443	27939.22308
444	27894.98304
445	27884.14299
446	27876.09624
447	27867.90467
448	27854.36049
449	27843.81284
450	27803.83848
451	27793.19518
452	27763.4232
453	27752.85584
454	27735.19861
455	27726.29122
456	27718.54756
457	27708.13697
458	27673.50693
459	27647.50991
460	27635.98823
461	27628.84326
462	27619.96232
463	27612.48887
464	27601.2213
465	27571.07083
466	27541.57321
467	27521.33914
468	27513.80639
469	27500.42199
470	27490.53739
471	27465.11405
472	27458.17705
473	27451.01423
474	27443.95019
475	27438.07044
476	27427.09229
477	27419.74938
478	27403.55605
479	27393.71224
480	27383.6878
481	27377.38278
482	27365.52692
483	27335.24699
484	27325.90155
485	27318.62141
486	27311.30852
487	27275.75445
488	27256.93218
489	27246.43227
490	27236.91649
491	27229.89782
492	27222.17623
493	27214.80799
494	27210.49919
495	27201.38645
496	27179.78359
497	27173.4198
498	27159.27996
499	27145.0629
500	27120.27177
501	27113.30146
502	27099.6048
503	27092.66927
504	27069.37603
505	27047.07011
506	27017.87023
507	27009.13779
508	26980.82128
509	26974.74311
510	26971.291
511	26939.83803
512	26930.764
513	26923.64615
514	26918.72622
515	26909.71647
516	26906.33502
517	26899.42227
518	26873.72833
519	26866.5255
520	26863.14742
521	26856.72818
522	26851.12616
523	26843.91855
524	26836.33633
525	26828.20357
526	26810.65421
527	26801.85238
528	26782.8125
529	26762.65291
530	26753.94881
531	26746.95504
532	26735.63026
533	26728.70892
534	26720.60112
535	26696.3351
536	26677.06639
537	26671.06615
538	26663.34562
539	26652.0261
540	26648.05501
541	26643.39735
542	26639.66226
543	26634.4334
544	26617.01516
545	26611.16086
546	26607.50725
547	26604.31073
548	26601.15524
549	26584.51575
550	26559.02766
551	26553.09174
552	26543.88416
553	26535.49899
554	26513.97282
555	26499.66366
556	26477.60439
557	26470.97364
558	26465.25087
559	26460.01285
560	26440.79222
561	26434.99661
562	26424.45027
563	26418.23217
564	26414.98313
565	26406.71092
566	26400.53238
567	26394.03914
568	26364.46362
569	26357.76904
570	26349.65763
571	26331.08899
572	26327.60413
573	26321.79811
574	26292.08674
575	26289.11122
576	26280.67938
577	26270.0135
578	26262.60479
579	26257.16757
580	26251.79622
581	26247.16539
582	26244.0913
583	26238.86613
584	26234.15283
585	26229.03617
586	26220.78233
587	26201.62394
588	26196.35668
589	26190.38681
590	26180.38444
591	26169.16594
592	26159.2024
593	26148.91589
594	26138.71792
595	26132.23962
596	26128.89007
597	26125.89814
598	26115.81655
599	26109.40914
600	26103.31334
601	26080.89949
602	26070.92602
603	26065.37098
604	26057.97289
605	26042.6211
606	26037.203
607	26028.32186
608	26025.49733
609	26014.63893
610	26006.25708
611	25996.84769
612	25987.20243
613	25966.43552
614	25951.43602
615	25940.28469
616	25927.87764
617	25923.20009
618	25895.1769
619	25890.23174
620	25884.21138
621	25879.11736
622	25864.97256
623	25861.5431
624	25856.87412
625	25842.12545
626	25817.22363
627	25802.90033
628	25798.06604
629	25784.28642
630	25778.60803
631	25766.49486
632	25761.92468
633	25752.88288
634	25744.01284
635	25734.43775
636	25727.17755
637	25724.45168
638	25721.12387
639	25704.30986
640	25686.45961
641	25681.01211
642	25665.95469
643	25653.82613
644	25649.08282
645	25628.23273
646	25618.12097
647	25613.14565
648	25602.64368
649	25587.38574
650	25574.64451
651	25568.08718
652	25556.09786
653	25549.62469
654	25533.39222
655	25525.59462
656	25512.55128
657	25506.79754
658	25486.90854
659	25482.07381
660	25469.91684
661	25459.42157
662	25451.0369
663	25438.61931
664	25433.69232
665	25412.62009
666	25408.86908
667	25406.27583
668	25401.45585
669	25398.17606
670	25393.71924
671	25387.86241
672	25383.34514
673	25380.16807
674	25375.61779
675	25365.65553
676	25357.55951
677	25350.33319
678	25341.90262
679	25324.90763
680	25322.38638
681	25317.52778
682	25312.89477
683	25307.96252
684	25299.20194
685	25291.41161
686	25283.07271
687	25274.806
688	25264.59076
689	25248.98286
690	25238.85859
691	25230.77513
692	25226.06232
693	25220.53149
694	25216.15395
695	25199.31043
696	25194.95655
697	25190.56759
698	25176.15365
699	25171.60265
700	25164.25665
701	25157.12277
702	25146.81507
703	25142.78479
704	25139.20731
705	25134.62082
706	25130.06506
707	25123.99232
708	25107.32509
709	25092.36886
710	25088.02414
711	25081.68906
712	25072.47087
713	25068.07856
714	25063.76032
715	25059.40357
716	25055.60604
717	25051.30592
718	25045.97867
719	25041.72846
720	25023.89529
721	25017.8423
722	25000.46441
723	24996.34499
724	24986.51361
725	24982.28347
726	24977.10988
727	24967.27549
728	24963.07194
729	24958.9101
730	24953.82415
731	24946.59842
732	24941.71468
733	24933.42109
734	24914.50692
735	24908.86882
736	24898.84918
737	24885.79562
738	24881.52345
739	24878.40504
740	24874.29369
741	24861.24984
742	24853.31725
743	24844.0737
744	24837.46832
745	24830.59023
746	24820.82353
747	24813.01276
748	24805.44146
749	24789.09101
750	24785.06485
751	24780.7276
752	24775.8908
