iter	Passed	Remaining
0	2	20235
1	8	44465
2	10	36329
3	12	31482
4	20	41135
5	21	36599
6	32	46840
7	45	56458
8	56	63198
9	69	69401
10	77	70393
11	85	71172
12	89	68703
13	97	69572
14	107	71662
15	115	72217
16	125	73960
17	127	70697
18	134	70622
19	144	71921
20	154	73259
21	158	71670
22	165	71615
23	171	71291
24	181	72425
25	187	72064
26	195	72084
27	199	70879
28	202	69731
29	210	69800
30	211	67855
31	211	65984
32	220	66671
33	228	66892
34	235	67031
35	239	66381
36	247	66608
37	255	66924
38	260	66600
39	264	65942
40	278	67683
41	287	68079
42	303	70373
43	314	71220
44	323	71585
45	328	71181
46	336	71326
47	351	72865
48	359	73074
49	370	73781
50	381	74460
51	386	73992
52	393	73781
53	398	73327
54	415	75080
55	426	75645
56	434	75709
57	443	75991
58	447	75418
59	462	76551
60	470	76609
61	483	77474
62	488	77106
63	503	78126
64	514	78673
65	528	79558
66	533	79083
67	544	79527
68	548	79005
69	554	78693
70	563	78819
71	568	78453
72	578	78605
73	588	78946
74	599	79318
75	622	81265
76	633	81670
77	643	81821
78	691	86890
79	709	87944
80	722	88497
81	735	88966
82	742	88753
83	748	88308
84	770	89870
85	774	89318
86	783	89225
87	792	89279
88	806	89834
89	814	89728
90	825	89842
91	829	89349
92	844	89947
93	855	90128
94	856	89306
95	864	89145
96	871	88933
97	879	88821
98	917	91724
99	941	93211
100	957	93813
101	966	93773
102	979	94132
103	989	94173
104	1003	94588
105	1012	94491
106	1026	94881
107	1036	94964
108	1040	94445
109	1045	93977
110	1052	93735
111	1053	92985
112	1057	92522
113	1061	92075
114	1063	91398
115	1075	91627
116	1086	91792
117	1093	91556
118	1104	91712
119	1111	91509
120	1119	91425
121	1126	91235
122	1134	91110
123	1141	90897
124	1149	90789
125	1155	90586
126	1160	90219
127	1167	90028
128	1176	90063
129	1180	89664
130	1187	89455
131	1188	88857
132	1195	88712
133	1202	88529
134	1209	88391
135	1216	88212
136	1226	88323
137	1234	88251
138	1243	88216
139	1254	88382
140	1265	88507
141	1275	88536
142	1281	88355
143	1291	88381
144	1297	88215
145	1304	88034
146	1311	87929
147	1316	87631
148	1323	87484
149	1330	87350
150	1334	87033
151	1341	86931
152	1345	86619
153	1355	86684
154	1359	86378
155	1369	86387
156	1369	85888
157	1379	85958
158	1386	85800
159	1387	85316
160	1392	85071
161	1401	85102
162	1406	84867
163	1412	84735
164	1422	84804
165	1423	84341
166	1430	84221
167	1437	84126
168	1447	84208
169	1451	83912
170	1462	84035
171	1468	83918
172	1476	83862
173	1485	83913
174	1493	83839
175	1497	83569
176	1507	83634
177	1513	83511
178	1520	83420
179	1526	83302
180	1533	83191
181	1543	83268
