iter	RMSE
0	73.92735673
1	73.92322821
2	73.92063637
3	73.91994296
4	73.91611129
5	73.90908412
6	73.90896669
7	73.90576959
8	73.90406093
9	73.89855988
10	73.89009545
11	73.88710168
12	73.88470436
13	73.87679748
14	73.87576387
15	73.87137833
16	73.86629197
17	73.85758588
18	73.85208127
19	73.84833217
20	73.84586751
21	73.84472182
22	73.84339741
23	73.84331806
24	73.83964866
25	73.83386181
26	73.82849384
27	73.82317246
28	73.81692829
29	73.81551622
30	73.81527116
31	73.81093278
32	73.80772745
33	73.80719619
34	73.79363155
35	73.78842753
36	73.77991106
37	73.77747629
38	73.77171005
39	73.7703542
40	73.76424496
41	73.7577769
42	73.74591734
43	73.74422131
44	73.73943725
45	73.73726258
46	73.73571634
47	73.73256638
48	73.72682714
49	73.71792375
50	73.71640656
51	73.70738959
52	73.70604037
53	73.70015792
54	73.69774929
55	73.69170691
56	73.68799514
57	73.68165985
58	73.67995203
59	73.67148563
60	73.66600732
61	73.66216605
62	73.65470539
63	73.64959314
64	73.64736377
65	73.64304869
66	73.63651212
67	73.63502471
68	73.63016646
69	73.62820972
70	73.62588329
71	73.62151854
72	73.61636644
73	73.61003338
74	73.60615387
75	73.60512867
76	73.6014787
77	73.5956233
78	73.59092156
79	73.57935186
80	73.57297539
81	73.56941363
82	73.56275815
83	73.56051341
84	73.55995595
85	73.55597481
86	73.55253197
87	73.54487278
88	73.53773621
89	73.52748487
90	73.52512694
91	73.51580095
92	73.51076952
93	73.50782145
94	73.50634056
95	73.50399443
96	73.49703949
97	73.4961011
98	73.49538587
99	73.49357735
100	73.49260142
101	73.49200228
102	73.49116812
103	73.48944555
104	73.48769719
105	73.48700474
106	73.48591583
107	73.47955103
108	73.4784493
109	73.47358533
110	73.4717092
111	73.46732547
112	73.4663964
113	73.46500857
114	73.46449891
115	73.46273483
116	73.45922773
117	73.45785198
118	73.45242542
119	73.45052849
120	73.44936258
121	73.44674333
122	73.44292482
123	73.43957549
124	73.42985857
125	73.42452877
126	73.42029866
127	73.41892604
128	73.41497758
129	73.41327047
130	73.40594309
131	73.40418792
132	73.40361698
133	73.40244681
134	73.39978597
135	73.39744684
136	73.39537754
137	73.39320835
138	73.39319257
139	73.38658442
140	73.3858003
141	73.3803872
142	73.37851915
143	73.37791092
144	73.37573868
145	73.36898623
146	73.36268558
147	73.35336192
148	73.34994929
149	73.3468877
150	73.3417569
151	73.34140963
152	73.33809299
153	73.33553759
154	73.33462331
155	73.33224125
156	73.3277432
157	73.32386354
158	73.31670535
159	73.3135624
160	73.30946992
161	73.3047621
162	73.29883979
163	73.29633435
164	73.29404805
165	73.29250628
166	73.28826108
167	73.28803897
168	73.278095
169	73.27490615
170	73.274906
171	73.27454499
172	73.26878434
173	73.26744175
174	73.26208924
175	73.25621854
176	73.25463133
177	73.25231999
178	73.24975354
179	73.24680607
180	73.2396852
181	73.23414969
182	73.22947472
183	73.2226304
184	73.21996378
185	73.21812327
186	73.21287643
187	73.20594629
188	73.2023044
189	73.19633479
190	73.19062951
191	73.19028907
192	73.1865942
193	73.18605404
194	73.18391394
195	73.18354592
196	73.1801246
197	73.17660827
198	73.16467466
199	73.16372647
200	73.15814157
201	73.15429734
202	73.14946885
203	73.14549057
204	73.14456873
205	73.13979569
206	73.13291819
207	73.12639546
208	73.11994778
209	73.11145097
210	73.09804826
211	73.09679212
212	73.08790263
213	73.0861069
214	73.08431778
215	73.08252573
216	73.07583232
217	73.07364088
218	73.07049195
219	73.07035624
220	73.06502821
221	73.06090004
222	73.05726395
223	73.03748876
224	73.03053485
225	73.02304681
226	73.02208031
227	73.01957278
228	73.01846325
229	73.01422891
230	73.00886576
231	73.00350012
232	72.99956736
233	72.99313031
234	72.98878898
235	72.97925516
236	72.97160601
237	72.96407731
238	72.95770397
239	72.94957246
240	72.94785998
241	72.9472901
242	72.94499872
243	72.93518031
244	72.92890243
245	72.9197717
246	72.91328803
247	72.90343819
248	72.90284477
249	72.89866725
250	72.89694186
251	72.89560877
252	72.89547708
253	72.89306584
254	72.88450959
255	72.87613183
256	72.87471017
257	72.86701331
258	72.85916337
259	72.85118332
260	72.83779094
261	72.82585074
262	72.82299609
263	72.82269018
264	72.81136412
265	72.80624921
266	72.79821001
267	72.79712126
268	72.79215321
269	72.78858095
270	72.78088996
271	72.77005971
272	72.76505105
273	72.7633431
274	72.75370778
275	72.74831076
276	72.73556039
277	72.72844163
278	72.72403331
279	72.72277405
280	72.71733305
281	72.71664602
282	72.71603469
283	72.71365269
284	72.7075621
285	72.69908167
286	72.69741683
287	72.69267905
288	72.68672647
289	72.68399002
290	72.67045122
291	72.66516288
292	72.65366528
293	72.65273194
294	72.65236424
295	72.6489049
296	72.64574323
297	72.63895007
298	72.63840765
299	72.63363174
300	72.62411404
301	72.61686722
302	72.61379338
303	72.6103882
304	72.60634916
305	72.59893052
306	72.58985384
307	72.58567238
308	72.57047036
309	72.56970924
310	72.5656837
311	72.55736792
312	72.55457831
313	72.54712984
314	72.54633681
315	72.53538426
316	72.52947599
317	72.52123333
318	72.51775555
319	72.51324277
320	72.51169625
321	72.50362946
322	72.50250067
323	72.49494971
324	72.49284336
325	72.48794586
326	72.47892142
327	72.47617869
328	72.47086856
329	72.46854
330	72.45547307
331	72.43835163
332	72.4323089
333	72.43160333
334	72.43037686
335	72.42572045
336	72.4120922
337	72.40547072
338	72.40489248
339	72.39797685
340	72.39641085
341	72.39601151
342	72.38779524
343	72.3860308
344	72.38177945
345	72.37138805
346	72.36981082
347	72.36828209
348	72.36732969
349	72.35467462
350	72.34886342
351	72.34384906
352	72.33837203
353	72.33366214
354	72.3325708
355	72.31989299
356	72.3188376
357	72.31676964
358	72.31119665
359	72.3088186
360	72.30758373
361	72.29599685
362	72.29319299
363	72.29178307
364	72.27948652
365	72.27409714
366	72.27373577
367	72.27204516
368	72.26929594
369	72.25632888
370	72.24488075
371	72.24186396
372	72.24041957
373	72.23846914
374	72.23478915
375	72.23344133
376	72.22868509
377	72.21698377
378	72.21621796
379	72.2141561
380	72.21032184
381	72.2086005
382	72.19722984
383	72.19209167
384	72.1913532
385	72.18972119
386	72.18415467
387	72.18222941
388	72.17703271
389	72.1618535
390	72.16071163
391	72.15748323
392	72.15292227
393	72.14682339
394	72.13655405
395	72.13397276
396	72.13150242
397	72.13111888
398	72.13022547
399	72.12981323
400	72.12934942
401	72.12468309
402	72.11522398
403	72.1139244
404	72.11245809
405	72.10287185
406	72.10211946
407	72.09933226
408	72.09376496
409	72.08959532
410	72.08301616
411	72.06833702
